,breed_ID,breed_name,weight_male,weight_female
154,208.0,Skye Terrier,35-45 pounds,slightly lighter
155,209.0,Sloughi,35-50 pounds,35-50 pounds
156,214.0,Staffordshire Bull Terrier,28-38 pounds,24 to 34 pounds
157,216.0,Sussex Spaniel,35-45 pounds,35-45 pounds
158,217.0,Swedish Vallhund,20-35 pounds,20-35 pounds
159,220.0,Tibetan Mastiff,90-150 pounds,70-120 pounds
160,221.0,Tibetan Spaniel,9-15 pounds,9-15 pounds
161,222.0,Tibetan Terrier,18-30 pounds,slightly smaller
162,224.0,Toy Fox Terrier,3.5-7 pounds,3.5-7 pounds
163,225.0,Treeing Walker Coonhound,50-70 pounds,50-70 pounds
164,226.0,Vizsla,55-60 pounds,44-55 pounds
165,227.0,Weimaraner,70-90 pounds,55-75 pounds
166,228.0,Welsh Corgi,30-38 pounds,25-34 pounds
167,229.0,Welsh Springer Spaniel,40-55 pounds,35-50 pounds
168,230.0,Welsh Terrier,20 pounds,proportionally smaller
169,231.0,West Highland White Terrier Westie,15-20 pounds,15-20 pounds
170,232.0,Wheaten Terrier,35-40 pounds,30-35 pounds
171,233.0,Whippet,25-40 pounds,25-40 pounds
172,236.0,Wire-haired Pointing Griffon,50-70 pounds,35 and 50 pounds
173,238.0,Xoloitzcuintle/Mexican Hairless,"10-15 pounds (toy), 15-30 pounds (miniature), 30-55 pounds (standard)","10-15 pounds (toy), 15-30 pounds (miniature), 30-55 pounds (standard)"
174,240.0,Yorkshire Terrier Yorkie,7 pounds,7 pounds
