,breed_ID,breed_name,animal_type
251,252,Terrier,Dog
252,253,Thai Ridgeback,Dog
253,254,Tibetan Mastiff,Dog
254,255,Tibetan Spaniel,Dog
255,256,Tibetan Terrier,Dog
256,257,Tosa Inu,Dog
257,258,Toy Fox Terrier,Dog
258,259,Toy Manchester Terrier,Dog
259,260,Treeing Walker Coonhound,Dog
260,261,Vizsla,Dog
261,262,Weimaraner,Dog
262,263,Welsh Springer Spaniel,Dog
263,264,Welsh Terrier,Dog
264,265,West Highland White Terrier / Westie,Dog
265,266,Wheaten Terrier,Dog
266,267,Whippet,Dog
267,268,White German Shepherd,Dog
268,269,Wire Fox Terrier,Dog
269,270,Wirehaired Dachshund,Dog
270,271,Wirehaired Pointing Griffon,Dog
271,272,Wirehaired Terrier,Dog
272,273,Xoloitzcuintli / Mexican Hairless,Dog
273,274,Yellow Labrador Retriever,Dog
274,275,Yorkshire Terrier,Dog
